TEG,Round,Hole,PAR,SI,DM,GW,JB,SN,AB,JP
TEG XV,R3,18,5,15,5,6,5,8,6,6
TEG XV,R4,1,4,5,8,6,5,5,8,10
TEG XV,R4,2,4,15,7,5,5,5,6,6
TEG XV,R4,3,3,11,5,4,5,5,5,5
TEG XV,R4,4,4,13,5,4,5,5,5,4
TEG XV,R4,5,4,1,6,5,5,4,7,5
TEG XV,R4,6,4,9,5,7,6,5,6,5
TEG XV,R4,7,5,7,7,6,5,7,7,7
TEG XV,R4,8,5,3,6,7,6,7,6,6
TEG XV,R4,9,3,17,3,3,4,4,3,5
TEG XV,R4,10,4,4,6,6,4,5,5,6
TEG XV,R4,11,4,14,7,5,5,5,6,6
TEG XV,R4,12,3,10,4,5,5,5,4,7
TEG XV,R4,13,5,6,7,5,6,7,8,7
TEG XV,R4,14,3,12,3,3,5,4,3,4
TEG XV,R4,15,3,18,4,3,3,6,4,3
TEG XV,R4,16,5,16,7,6,6,7,7,5
TEG XV,R4,17,4,8,6,4,6,4,6,8
TEG XV,R4,18,4,2,8,7,8,9,7,6
